iter	Passed	Remaining
0	165	164943
1	166	83282
2	168	56100
3	179	44786
4	186	37159
5	192	31967
6	194	27586
7	200	24859
8	204	22502
9	208	20663
10	212	19082
11	216	17802
12	221	16832
13	223	15754
14	226	14890
15	229	14103
16	233	13518
17	235	12867
18	237	12273
19	238	11692
20	239	11183
21	242	10765
22	243	10357
23	245	10003
24	248	9695
25	249	9353
26	251	9062
27	253	8796
28	254	8516
29	255	8253
30	256	8011
31	257	7779
32	258	7563
33	259	7360
34	260	7183
35	262	7027
36	263	6857
37	264	6696
38	265	6544
39	266	6397
40	267	6255
41	269	6139
42	270	6021
43	271	5898
44	272	5780
45	273	5669
46	275	5587
47	277	5505
48	279	5420
49	280	5323
50	281	5230
51	282	5141
52	283	5057
53	283	4974
54	284	4893
55	285	4820
56	286	4746
57	287	4673
58	289	4616
59	291	4567
60	293	4517
61	295	4467
62	297	4417
63	298	4363
64	299	4306
65	300	4251
66	301	4198
67	301	4138
68	302	4087
69	304	4042
70	306	4012
71	308	3976
72	310	3945
73	312	3909
74	313	3867
75	314	3824
76	315	3786
77	317	3753
78	319	3723
79	321	3700
80	323	3669
81	324	3633
82	325	3600
83	327	3567
84	327	3528
85	328	3495
86	329	3459
87	331	3433
88	332	3401
89	333	3369
90	334	3342
91	336	3322
92	338	3297
93	339	3268
94	340	3241
95	341	3213
96	342	3190
97	343	3163
98	344	3138
99	345	3111
100	346	3085
101	347	3057
102	348	3032
103	349	3010
104	350	2989
105	351	2966
106	352	2944
107	353	2922
108	354	2901
109	356	2881
110	357	2860
111	358	2841
112	359	2821
113	360	2801
114	361	2779
115	361	2758
116	363	2740
117	364	2723
118	365	2703
119	366	2684
120	367	2667
121	368	2649
122	368	2628
123	369	2612
124	371	2597
125	372	2582
126	373	2566
127	374	2548
128	375	2538
129	377	2524
130	378	2510
131	379	2497
132	381	2484
133	382	2473
134	384	2460
135	385	2447
136	386	2433
137	387	2417
138	388	2404
139	389	2391
140	390	2378
141	391	2366
142	392	2353
143	393	2340
144	395	2330
145	396	2319
146	397	2307
147	398	2294
148	399	2282
149	400	2270
150	401	2258
151	402	2247
152	404	2237
153	405	2226
154	406	2215
155	407	2204
156	408	2194
157	409	2183
158	410	2172
159	411	2161
160	412	2150
161	413	2139
162	414	2128
163	416	2122
164	417	2114
165	418	2104
166	420	2096
167	421	2085
168	422	2075
169	423	2066
170	424	2057
171	426	2050
172	427	2044
173	428	2035
174	429	2026
175	431	2017
176	432	2010
177	433	2003
178	434	1994
179	436	1986
180	436	1976
181	437	1967
182	439	1960
183	440	1953
184	442	1947
185	443	1941
186	445	1935
187	446	1930
188	448	1924
189	449	1915
190	450	1907
191	451	1898
192	452	1894
193	454	1888
194	456	1883
195	458	1879
196	459	1872
197	460	1865
198	462	1860
199	463	1855
200	464	1847
201	465	1839
202	466	1832
203	467	1825
204	468	1817
205	469	1810
206	470	1803
207	472	1800
208	474	1796
209	475	1790
210	477	1784
211	478	1777
212	479	1771
213	480	1765
214	481	1758
215	482	1752
216	483	1744
217	484	1738
218	485	1731
219	486	1725
220	487	1719
221	488	1712
222	489	1707
223	491	1703
224	493	1698
225	494	1694
226	496	1691
227	498	1686
228	499	1680
229	500	1675
230	502	1671
231	503	1667
232	504	1661
233	506	1656
234	507	1651
235	508	1647
236	510	1642
237	512	1639
238	513	1636
239	514	1630
240	515	1624
241	516	1619
242	518	1615
243	519	1610
244	521	1607
245	522	1601
246	523	1596
247	524	1591
248	525	1586
249	527	1581
250	528	1578
251	530	1573
252	531	1567
253	532	1562
254	532	1557
255	534	1552
256	535	1546
257	536	1542
258	537	1537
259	538	1532
260	539	1527
261	540	1521
262	541	1516
263	542	1511
264	543	1507
265	544	1502
266	545	1497
267	547	1495
268	548	1490
269	549	1485
270	550	1481
271	551	1476
272	552	1471
273	553	1466
274	554	1463
275	555	1458
276	556	1453
277	558	1449
278	559	1444
279	560	1440
280	561	1436
281	562	1432
282	563	1427
283	564	1423
284	565	1419
285	566	1415
286	568	1411
287	569	1407
288	570	1402
289	571	1398
290	572	1395
291	573	1391
292	574	1387
293	575	1382
294	576	1378
295	577	1374
296	579	1370
297	580	1366
298	581	1362
299	582	1358
300	583	1354
301	584	1350
302	585	1347
303	587	1344
304	588	1340
305	589	1336
306	590	1333
307	591	1329
308	593	1327
309	594	1322
310	596	1320
311	597	1317
312	598	1314
313	599	1310
314	600	1306
315	601	1302
316	602	1298
317	603	1295
318	605	1291
319	606	1287
320	606	1283
321	608	1280
322	609	1276
323	610	1272
324	611	1269
325	612	1266
326	613	1262
327	614	1258
328	615	1255
329	616	1252
330	618	1250
331	619	1246
332	621	1244
333	622	1240
334	623	1237
335	624	1233
336	625	1230
337	626	1227
338	627	1224
339	628	1220
340	630	1217
341	631	1214
342	632	1210
343	633	1207
344	634	1204
345	635	1200
346	636	1197
347	637	1194
348	638	1190
349	639	1187
350	640	1184
351	641	1181
352	642	1178
353	643	1174
354	645	1171
355	646	1168
356	647	1166
357	649	1163
358	650	1161
359	651	1157
360	652	1154
361	653	1151
362	654	1148
363	655	1145
364	656	1142
365	657	1139
366	659	1138
367	661	1136
368	663	1134
369	664	1131
370	665	1128
371	666	1125
372	667	1122
373	669	1119
374	670	1117
375	671	1114
376	672	1111
377	673	1108
378	674	1105
379	675	1102
380	676	1098
381	677	1095
382	678	1092
383	679	1090
384	680	1087
385	682	1085
386	683	1082
387	685	1080
388	686	1077
389	687	1075
390	688	1072
391	690	1070
392	691	1068
393	693	1066
394	694	1063
395	695	1060
396	696	1058
397	697	1055
398	698	1052
399	700	1050
400	701	1047
401	702	1044
402	703	1041
403	704	1038
404	705	1036
405	706	1033
406	708	1031
407	710	1030
408	711	1028
409	713	1026
410	714	1023
411	715	1020
412	716	1018
413	717	1015
414	718	1012
415	719	1010
416	720	1007
417	721	1004
418	723	1002
419	724	1000
420	726	998
421	727	996
422	728	994
423	729	991
424	730	988
425	732	986
426	733	983
427	734	981
428	735	978
429	736	976
430	737	973
431	738	970
432	739	967
433	740	965
434	741	963
435	743	961
436	744	959
437	745	956
438	747	955
439	749	953
440	750	951
441	751	949
442	753	946
443	754	945
444	756	943
445	758	941
446	760	940
447	761	938
448	763	936
449	764	934
450	765	932
451	766	929
452	767	927
453	768	924
454	770	922
455	771	920
456	772	917
457	773	915
458	774	913
459	775	910
460	777	908
461	778	906
462	779	903
463	780	901
464	781	899
465	782	897
466	783	894
467	785	892
468	786	890
469	788	888
470	789	887
471	791	885
472	792	882
473	793	880
474	794	878
475	795	875
476	797	874
477	798	871
478	799	869
479	800	867
480	801	865
481	802	862
482	804	860
483	805	859
484	806	856
485	807	854
486	809	852
487	810	850
488	811	848
489	813	846
490	814	844
491	815	841
492	816	839
493	817	837
494	818	834
495	819	833
496	821	831
497	823	829
498	824	827
499	825	825
500	826	823
501	827	821
502	828	819
503	829	816
504	831	814
505	832	812
506	833	810
507	834	808
508	836	806
509	837	804
510	838	802
511	839	800
512	840	798
513	842	796
514	843	794
515	844	792
516	845	789
517	846	787
518	847	785
519	848	783
520	850	781
521	851	780
522	853	778
523	854	776
524	855	773
525	856	771
526	857	769
527	858	767
528	859	765
529	860	763
530	861	761
531	862	758
532	864	757
533	865	755
534	867	753
535	868	751
536	869	749
537	870	747
538	871	745
539	873	743
540	874	741
541	875	739
542	876	737
543	877	735
544	878	733
545	880	731
546	882	730
547	883	728
548	884	726
549	886	725
550	887	723
551	888	721
552	889	719
553	891	717
554	892	715
555	894	713
556	895	712
557	896	710
558	897	708
559	899	706
560	900	704
561	901	702
562	903	700
563	903	698
564	904	696
565	905	694
566	907	692
567	908	690
568	909	689
569	911	687
570	912	685
571	913	683
572	914	681
573	915	679
574	916	677
575	917	675
576	919	674
577	920	672
578	921	670
579	922	668
580	924	666
581	925	664
582	926	662
583	927	660
584	928	658
585	929	656
586	931	655
587	932	653
588	933	651
589	934	649
590	936	647
591	937	646
592	938	644
593	939	642
594	941	640
595	943	639
596	944	637
597	946	636
598	947	634
599	948	632
600	950	630
601	951	628
602	952	626
603	953	624
604	954	623
605	955	621
606	956	619
607	957	617
608	958	615
609	959	613
610	961	611
611	962	609
612	963	608
613	964	606
614	965	604
615	966	602
616	967	600
617	969	599
618	970	597
619	971	595
620	972	593
621	973	591
622	974	589
623	975	587
624	976	585
625	977	584
626	978	581
627	979	580
628	980	578
629	981	576
630	982	574
631	983	572
632	984	570
633	986	569
634	987	567
635	988	565
636	989	563
637	990	562
638	991	560
639	992	558
640	994	556
641	995	555
642	997	553
643	998	551
644	999	550
645	1000	548
646	1002	546
647	1003	545
648	1005	543
649	1006	541
650	1006	539
651	1008	538
652	1008	536
